,id,neighbourhood_cleansed,room_type,zipcode,latitude,longitude,property_type,price,number_of_reviews,review_scores_rating,reviews_per_month,square_feet,potential_annual_revenue,Zillow_Avg_Value,yield,rent_squre_foot
51,3123041,Southeast Magnolia,Private room,98199.0,47.64417928,-122.38384750000002,House,75.0,79,96.0,4.04,0.0,9033.75,917500.0,0.98,0.0
52,2492143,Southeast Magnolia,Private room,98199.0,47.64781515,-122.3889815,House,95.0,18,90.0,0.83,0.0,11442.75,917500.0,1.25,0.0
53,6714652,Southeast Magnolia,Entire home/apt,98199.0,47.64657055,-122.38841790000001,Loft,150.0,11,98.0,1.88,0.0,18067.5,917500.0,1.97,0.0
54,6678058,Southeast Magnolia,Entire home/apt,98199.0,47.64767852,-122.39247420000001,House,110.0,12,93.0,1.98,0.0,13249.5,917500.0,1.44,0.0
55,1696194,Southeast Magnolia,Entire home/apt,98199.0,47.63297071,-122.39488689999999,House,228.0,11,96.0,0.51,0.0,27462.600000000002,917500.0,2.99,0.0
56,9352778,Southeast Magnolia,Entire home/apt,98199.0,47.64776523,-122.38250659999999,House,110.0,2,100.0,2.0,0.0,13249.5,917500.0,1.44,0.0
57,2720963,Southeast Magnolia,Entire home/apt,98199.0,47.64161954,-122.3897249,House,950.0,5,96.0,0.74,0.0,114427.5,917500.0,12.47,0.0
58,6591879,Southeast Magnolia,Entire home/apt,98199.0,47.6433632,-122.3881652,Apartment,225.0,1,100.0,0.16,0.0,27101.25,917500.0,2.95,0.0
59,10023353,Southeast Magnolia,Entire home/apt,98199.0,47.6457096,-122.3920604,House,125.0,0,0.0,0.0,0.0,15056.25,917500.0,1.64,0.0
60,8207987,Southeast Magnolia,Private room,98199.0,47.64653807,-122.3937383,House,68.0,0,0.0,0.0,0.0,8190.6,917500.0,0.89,0.0
61,3971346,Southeast Magnolia,Entire home/apt,98199.0,47.64667347,-122.38496470000001,House,250.0,35,98.0,2.14,0.0,30112.5,917500.0,3.28,0.0
62,3382533,Southeast Magnolia,Entire home/apt,98199.0,47.64120565,-122.3868656,Apartment,150.0,50,98.0,2.84,0.0,18067.5,917500.0,1.97,0.0
63,8943821,Southeast Magnolia,Private room,98199.0,47.63862403,-122.38801289999999,Apartment,48.0,2,100.0,0.98,0.0,5781.6,917500.0,0.63,0.0
64,4485424,Southeast Magnolia,Entire home/apt,98199.0,47.63791251,-122.3912642,House,330.0,37,100.0,2.72,0.0,39748.5,917500.0,4.33,0.0
65,7227464,Southeast Magnolia,Entire home/apt,98199.0,47.64032523,-122.3866494,Apartment,125.0,17,96.0,3.11,0.0,15056.25,917500.0,1.64,0.0
66,2958318,Southeast Magnolia,Entire home/apt,98199.0,47.64325318,-122.38476509999998,Townhouse,350.0,0,0.0,0.0,0.0,42157.5,917500.0,4.59,0.0
67,4772997,Rainier Beach,Private room,98178.0,47.50850258,-122.2609804,House,67.0,16,99.0,2.14,0.0,8070.150000000001,433500.0,1.86,0.0
68,4711069,Rainier Beach,Entire home/apt,98178.0,47.51016433,-122.2604426,House,169.0,42,91.0,3.38,0.0,20356.05,433500.0,4.7,0.0
69,7713043,Rainier Beach,Entire home/apt,98178.0,47.50728407,-122.25418859999999,Camper/RV,75.0,7,91.0,1.39,0.0,9033.75,433500.0,2.08,0.0
70,5192122,Rainier Beach,Private room,98178.0,47.51049554,-122.2603946,House,79.0,0,0.0,0.0,0.0,9515.550000000001,433500.0,2.2,0.0
71,8901863,Rainier Beach,Entire home/apt,98178.0,47.51041563,-122.25223000000001,Other,118.0,0,0.0,0.0,0.0,14213.1,433500.0,3.28,0.0
72,2027236,Rainier Beach,Private room,98178.0,47.50839421,-122.2582386,House,60.0,144,93.0,5.85,0.0,7227.0,433500.0,1.67,0.0
73,10267360,Rainier Beach,Entire home/apt,98178.0,47.50845297,-122.24060700000001,House,93.0,0,0.0,0.0,0.0,11201.85,433500.0,2.58,0.0
74,6657574,Crown Hill,Private room,98177.0,47.70348162,-122.36984209999999,House,45.0,8,98.0,1.55,0.0,5420.25,740200.0,0.73,0.0
75,9394485,Crown Hill,Entire home/apt,98177.0,47.70514083,-122.3712134,House,119.0,2,100.0,1.36,0.0,14333.550000000001,740200.0,1.94,0.0
76,9475641,Greenwood,Entire home/apt,98177.0,47.7029098,-122.36187340000002,House,98.0,0,0.0,0.0,0.0,11804.1,740200.0,1.59,0.0
77,1935439,Greenwood,Private room,98177.0,47.70329901,-122.3607324,House,49.0,3,80.0,0.16,0.0,5902.05,740200.0,0.8,0.0
78,3753645,Greenwood,Private room,98177.0,47.70304671,-122.36276409999998,Townhouse,110.0,0,0.0,0.0,0.0,13249.5,740200.0,1.79,0.0
79,6376952,North Beach/Blue Ridge,Entire home/apt,98177.0,47.70432151,-122.3817919,House,240.0,8,100.0,1.31,0.0,28908.0,740200.0,3.91,0.0
80,10319529,North Beach/Blue Ridge,Entire home/apt,98177.0,47.70715438,-122.37416370000001,House,49.0,0,0.0,0.0,0.0,5902.05,740200.0,0.8,0.0
81,9714078,North Beach/Blue Ridge,Entire home/apt,98177.0,47.70863157,-122.37524769999999,House,108.0,2,100.0,2.0,0.0,13008.6,740200.0,1.76,0.0
82,2303981,North Beach/Blue Ridge,Entire home/apt,98177.0,47.70328946,-122.3756274,House,99.0,4,100.0,0.22,0.0,11924.550000000001,740200.0,1.61,0.0
83,8457402,Broadview,Private room,98177.0,47.71458793,-122.36508880000001,House,45.0,5,100.0,1.72,0.0,5420.25,740200.0,0.73,0.0
84,2297917,Broadview,Entire home/apt,98177.0,47.70942452,-122.36323259999999,Apartment,125.0,45,96.0,1.96,0.0,15056.25,740200.0,2.03,0.0
85,7860837,Broadview,Entire home/apt,98177.0,47.73331631,-122.3605595,Apartment,99.0,4,100.0,3.43,0.0,11924.550000000001,740200.0,1.61,0.0
86,5304739,Broadview,Entire home/apt,98177.0,47.71730262,-122.36509240000001,Apartment,49.0,82,94.0,8.01,0.0,5902.05,740200.0,0.8,0.0
87,8051134,Broadview,Entire home/apt,98177.0,47.71575913,-122.3664973,Apartment,67.0,7,100.0,3.68,0.0,8070.150000000001,740200.0,1.09,0.0
88,451012,Broadview,Entire home/apt,98177.0,47.71351833,-122.35873529999999,House,195.0,2,98.0,0.05,0.0,23487.75,740200.0,3.17,0.0
89,5059981,Broadview,Entire home/apt,98177.0,47.71003521,-122.35881979999999,House,183.0,0,0.0,0.0,0.0,22042.350000000002,740200.0,2.98,0.0
90,3986793,Broadview,Private room,98177.0,47.70644318,-122.359972,House,39.0,26,92.0,1.58,0.0,4697.55,740200.0,0.63,0.0
91,4936647,Broadview,Entire home/apt,98177.0,47.716429299999994,-122.37204380000001,House,120.0,29,91.0,2.46,0.0,14454.0,740200.0,1.95,0.0
92,8799588,Broadview,Private room,98177.0,47.71539597,-122.35972240000001,House,39.0,1,100.0,0.67,0.0,4697.55,740200.0,0.63,0.0
93,6278680,Arbor Heights,Entire home/apt,98146.0,47.51286492,-122.3790334,House,100.0,11,98.0,1.61,0.0,12045.0,466500.0,2.58,0.0
94,5252543,Arbor Heights,Private room,98146.0,47.51248178,-122.38714669999999,House,54.0,6,100.0,0.85,0.0,6504.3,466500.0,1.39,0.0
95,9296887,Arbor Heights,Private room,98146.0,47.50546947,-122.3806362,Treehouse,55.0,0,0.0,0.0,0.0,6624.75,466500.0,1.42,0.0
96,353347,Arbor Heights,Entire home/apt,98146.0,47.50508834,-122.3782388,House,200.0,29,96.0,0.63,0.0,24090.0,466500.0,5.16,0.0
97,9109293,Fauntleroy,Private room,98146.0,47.51468032,-122.39396780000001,Apartment,80.0,0,0.0,0.0,0.0,9636.0,466500.0,2.07,0.0
